,error,wind_speed_10m (m/s),pressure_msl (hPa),relative_humidity_2m (%),cloud_cover (%),wind_direction_10m (°),temperature_2m (°C),hour
0,0.8833,4.09,1003.6,70,0,102,27.0,7
1,0.7082999999999999,3.52,1003.9,65,0,113,28.8,8
2,0.52,3.65,1003.8,58,0,123,30.9,9
3,0.3567,3.36,1003.9,53,0,132,32.8,10
4,0.25,3.12,1004.1,50,0,125,33.5,11
5,0.185,3.17,1003.8,47,4,128,34.5,12
6,0.20329999999999998,3.13,1003.2,44,15,124,35.5,13
7,0.24170000000000003,3.13,1002.4,43,42,119,36.0,14
8,0.6967,3.61,1001.9,43,41,107,35.6,15
9,0.8417,1.14,1001.7,48,84,293,34.6,16
10,0.715,1.48,1001.6,53,27,208,32.8,17
11,0.8983,3.12,1002.1,63,19,78,31.2,18
12,0.95,2.29,1006.3,77,4,126,24.7,7
13,0.9333,2.55,1006.3,70,100,152,26.0,8
14,0.915,2.51,1006.6,68,100,186,26.1,9
15,0.85,2.33,1006.6,63,2,203,27.7,10
16,0.6383,2.53,1007.0,62,10,210,28.2,11
17,0.4917,2.48,1006.3,55,2,223,30.2,12
18,0.37170000000000003,2.3,1005.4,50,2,257,31.8,13
19,0.215,1.97,1004.6,48,7,279,32.8,14
20,0.35,1.9,1003.6,46,14,297,33.5,15
21,0.495,2.12,1002.6,46,10,326,33.5,16
22,0.7082999999999999,0.9,1002.8,37,77,3,34.4,17
23,0.9017000000000001,0.6,1002.5,43,5,95,33.3,18
24,0.8917,0.7,1005.0,64,0,201,28.5,7
25,0.71,1.01,1005.2,56,0,207,30.4,8
26,0.56,1.63,1005.4,51,0,227,32.2,9
27,0.37329999999999997,2.43,1005.1,49,10,256,33.4,10
28,0.25170000000000003,2.2,1005.0,46,18,253,34.2,11
29,0.205,2.36,1004.2,43,21,253,35.1,12
30,0.2183,2.38,1003.0,39,13,260,36.0,13
31,0.6817,2.91,1001.8,35,16,274,36.6,14
32,0.2483,4.07,1001.0,34,70,284,35.8,15
33,0.9067000000000001,1.45,1001.1,45,57,360,33.6,16
34,0.9917,4.08,1002.2,47,86,251,31.7,17
35,0.9967,2.34,1002.0,51,100,236,30.6,18
36,0.88,1.41,1004.7,65,85,253,28.1,7
37,0.635,2.16,1005.3,58,68,283,30.0,8
38,0.4567,3.02,1005.4,53,17,282,31.5,9
39,0.31,2.85,1005.4,50,0,269,32.9,10
40,0.20170000000000002,2.44,1004.6,46,0,255,33.4,11
41,0.1483,2.05,1004.0,42,6,257,34.4,12
42,0.15,1.61,1003.3,39,25,275,35.1,13
43,0.205,1.76,1002.8,37,42,290,35.5,14
44,0.2683,1.88,1002.3,35,22,312,35.4,15
45,0.5333,1.55,1001.8,36,16,339,35.1,16
46,0.67,3.36,1002.9,53,51,25,30.4,17
47,0.9083,2.59,1002.8,51,3,40,30.6,18
48,0.875,1.54,1005.2,57,5,283,28.9,7
49,0.6967,1.25,1005.7,50,4,254,31.2,8
50,0.5067,2.64,1006.8,48,2,299,32.5,9
51,0.315,2.17,1006.6,46,57,308,33.6,10
52,0.8983,1.95,1006.3,44,24,334,33.4,11
53,0.1583,1.54,1005.8,43,13,347,34.1,12
54,0.15,0.74,1004.9,41,13,340,34.7,13
55,0.2167,0.96,1003.9,38,15,261,35.4,14
56,0.31670000000000004,1.75,1003.1,36,29,239,36.0,15
57,0.4567,2.39,1002.4,37,22,244,35.8,16
58,0.835,3.12,1002.8,39,2,254,34.0,17
59,0.9517,1.43,1003.2,47,5,282,33.0,18
60,0.94,0.5,1006.8,71,61,90,26.8,7
61,0.8017,0.83,1007.2,60,20,245,28.6,8
62,0.6083,1.65,1007.0,55,7,256,30.3,9
63,0.325,2.23,1006.8,51,12,261,31.9,10
64,0.23,2.07,1006.3,48,12,262,32.7,11
65,0.2,1.78,1006.1,44,27,281,33.6,12
66,0.1583,1.27,1005.3,43,9,296,34.2,13
67,0.21,1.48,1004.1,43,9,282,34.9,14
68,0.30329999999999996,2.12,1003.4,42,14,289,34.9,15
69,0.4633,1.99,1002.6,41,13,282,34.6,16
70,0.6733,2.5,1001.7,36,23,271,35.1,17
71,0.9183,1.52,1002.1,44,14,297,33.7,18
72,0.875,1.36,1005.4,66,2,242,29.8,7
73,0.695,2.13,1005.7,59,3,231,31.3,8
74,0.5083,2.39,1005.8,53,17,254,32.7,9
75,0.335,2.4,1005.7,49,19,274,33.8,10
76,0.1433,2.75,1005.9,42,16,280,34.7,11
77,0.605,2.98,1005.2,39,5,295,35.3,12
78,0.13,3.14,1004.4,38,29,301,35.4,13
79,0.2217,3.35,1003.8,39,36,287,34.6,14
80,0.3267,2.1,1002.8,41,6,270,34.8,15
81,0.44670000000000004,2.61,1002.3,36,8,290,35.5,16
82,0.6333,2.57,1001.1,35,19,297,35.3,17
83,0.9117000000000001,3.89,1001.9,41,20,283,33.5,18
84,0.8583,1.36,1005.1,64,13,107,28.1,7
85,0.9133,1.22,1005.1,60,38,145,29.3,8
86,0.505,1.4,1005.6,59,0,180,30.1,9
87,0.3517,2.13,1005.9,54,0,219,31.8,10
88,0.22329999999999997,2.47,1005.9,46,12,256,33.1,11
89,0.15,2.5,1005.3,42,25,271,34.0,12
90,0.185,2.61,1004.8,40,23,275,34.2,13
91,1.0,2.07,1004.0,38,20,285,34.5,14
92,0.71,2.29,1003.5,37,18,286,34.7,15
93,0.5333,2.28,1003.0,38,13,296,34.5,16
94,0.8617,2.92,1003.1,33,32,257,34.2,17
95,0.8783,2.49,1002.9,38,9,248,32.9,18
96,0.875,2.06,1006.1,67,8,276,29.1,7
97,0.8117,2.66,1006.5,60,1,275,30.6,8
98,0.535,3.99,1006.5,54,2,290,32.1,9
99,0.38,4.16,1006.5,49,14,290,33.3,10
100,0.36829999999999996,3.71,1006.1,41,75,274,34.0,11
101,0.17329999999999998,3.74,1005.9,46,26,278,33.4,12
102,0.15,3.46,1005.3,40,34,290,34.2,13
103,0.6017,3.52,1004.6,39,20,263,34.4,14
104,0.2183,5.02,1004.6,47,34,301,33.0,15
105,0.84,2.95,1004.2,49,7,273,32.5,16
106,0.85,3.02,1002.5,38,28,258,35.0,17
107,0.9133,2.2,1003.1,46,11,291,33.1,18
108,0.9817,2.69,1005.5,66,25,280,28.3,7
109,0.9017000000000001,3.71,1005.7,61,16,280,29.7,8
110,0.8933,4.13,1005.3,57,5,281,31.2,9
111,0.76,4.38,1005.0,51,17,287,32.8,10
112,0.69,4.9,1005.1,43,20,304,32.5,11
113,0.5233,4.0,1004.3,42,23,312,33.0,12
114,0.4267,3.36,1003.5,39,20,316,33.9,13
