date,hour,power_kw,plant_capacity_kw,error_pct
2026-06-12,07:00,0.7,6.0,88.33
2026-06-12,08:00,1.75,6.0,70.83
2026-06-12,09:00,2.88,6.0,52.0
2026-06-12,10:00,3.86,6.0,35.67
2026-06-12,11:00,4.5,6.0,25.0
2026-06-12,12:00,4.89,6.0,18.5
2026-06-12,13:00,4.78,6.0,20.33
2026-06-12,14:00,4.55,6.0,24.17
2026-06-12,15:00,1.82,6.0,69.67
2026-06-12,16:00,0.95,6.0,84.17
2026-06-12,17:00,1.71,6.0,71.5
2026-06-12,18:00,0.61,6.0,89.83
2026-06-13,07:00,0.3,6.0,95.0
2026-06-13,08:00,0.4,6.0,93.33
2026-06-13,09:00,0.51,6.0,91.5
2026-06-13,10:00,0.9,6.0,85.0
2026-06-13,11:00,2.17,6.0,63.83
2026-06-13,12:00,3.05,6.0,49.17
2026-06-13,13:00,3.77,6.0,37.17
2026-06-13,14:00,4.71,6.0,21.5
2026-06-13,15:00,3.9,6.0,35.0
2026-06-13,16:00,3.03,6.0,49.5
2026-06-13,17:00,1.75,6.0,70.83
2026-06-13,18:00,0.59,6.0,90.17
2026-06-14,07:00,0.65,6.0,89.17
2026-06-14,08:00,1.74,6.0,71.0
2026-06-14,09:00,2.64,6.0,56.0
2026-06-14,10:00,3.76,6.0,37.33
2026-06-14,11:00,4.49,6.0,25.17
2026-06-14,12:00,4.77,6.0,20.5
2026-06-14,13:00,4.69,6.0,21.83
2026-06-14,14:00,1.91,6.0,68.17
2026-06-14,15:00,4.51,6.0,24.83
2026-06-14,16:00,0.56,6.0,90.67
2026-06-14,17:00,0.05,6.0,99.17
2026-06-14,18:00,0.02,6.0,99.67
2026-06-15,07:00,0.72,6.0,88.0
2026-06-15,08:00,2.19,6.0,63.5
2026-06-15,09:00,3.26,6.0,45.67
2026-06-15,10:00,4.14,6.0,31.0
2026-06-15,11:00,4.79,6.0,20.17
2026-06-15,12:00,5.11,6.0,14.83
2026-06-15,13:00,5.1,6.0,15.0
2026-06-15,14:00,4.77,6.0,20.5
2026-06-15,15:00,4.39,6.0,26.83
2026-06-15,16:00,2.8,6.0,53.33
2026-06-15,17:00,1.98,6.0,67.0
